排名,up主,视频链接,视频描述,三连量,播放量,排行分数,标签,标题,弹幕数
2687,FreddyFazbear,http://www.bilibili.com/video/av583224041,"突如其来的想法然后做了这个视频
用手机做的质量感觉不是很好请见谅",12,1030,1030,2020脑洞节 神奇脑回路大赏&&JOJO的奇妙冒险&&卡兹&&JOJO奇妙冒险&&阿姨压一压&&名场面,卡兹对生活有了新的思考,3
2688,pump杰,http://www.bilibili.com/video/av455576556,"《Believer》是美国摇滚乐队Imagine Dragons的一首歌曲，由Imagine Dragons、Robin Fredrikkson、贾斯汀·特兰特和马蒂亚斯·拉尔森创作，梁非凡和刘醒演唱，发行于2017年2月1日，收录于Imagine Dragons的2017年6月23日发行的专辑《吔》中
新人第一次制作鬼畜，不喜勿喷！",12,1029,1029,bilibili新星计划&&鬼畜调教&&梁非凡&&刘醒&&吔屎啦梁非凡&&非凡哥&&人力VOCALOID&&吔屎啦,【梁非凡】believer,6
2689,阴阳怪气黑曼Jack,http://www.bilibili.com/video/av370797645,争取一周一更嗷ov&lt;    点一波哦关注可以嘛，秋梨膏！！！,9,1028,1028,调教咖啡厅&&属性咖啡厅&&鬼畜调教&&搞笑&&JOJO&&原创&&布施明,【布施明】S  代  表  布  用  等,6
2690,北巷_旧音,http://www.bilibili.com/video/av583275647,"素材：浪浪
背景：worrl",8,1027,1027,全能打卡挑战&&伏拉夫&&我爱中国&&CHINA&&财富密码&&枪声音乐,伏 拉 夫 处 刑 曲--CHINA-2,5
2691,LS_yerul,http://www.bilibili.com/video/av243082285,"游戏：绝地求生-PUBG（封号模拟器）
素材来自：AV32968789和@PUBG-BO部分自抠
不定期更新，但是一般都在周末",24,1027,1027,全能打卡挑战&&电音&&萌新UP&&枪乐&&抖腿&&鬼畜调教&&PUBG&&枪声&&高燃&&Time Back,【枪声音乐】Time Back（大型高燃，打鱼现场，肯定有地方没卡好up能力有限请见谅）,104
2692,红烧带鱼hasedy,http://www.bilibili.com/video/av498142437,"制作：我（自豪） 
素材来自：@帅冷冷QuQ
特别鸣谢：@Hanser赐名的自爆电鳗   @布偶Speh",49,1025,1025,HANSER&&憨色&&生日快乐&&生贺&&鬼畜调教&&自制,【2020Hanser生贺单品】奶憨,2
2693,专业打劫三十年,http://www.bilibili.com/video/av752900479,这个视频是当年咖喱参加《中国梦之声》选秀时被淘汰的一段视频，因为表现不好被导演临时删掉。up主将这段视频公布于世，希望大家能认可咖喱的演唱天赋，虽然现在只是一个小主播，每天在直播间里打打牌，但是在广大的女粉（如果有的话）心中他永远是传奇歌手！,20,1024,1024,bilibili新星计划&&咖喱&&garigari&&昆特牌&&昆特&&绝活&&存八块&&中国梦之声,【珍贵录像】咖喱参加《中国梦之声》视频流出！,20
2694,冷溪-Monck,http://www.bilibili.com/video/av328124266,【鬼畜初尝试】新人，见谅~~~,37,1023,1023,bilibili新星计划&&动物&&猎豹&&老虎&&狮子&&康康舞曲&&古典音乐&&搞笑&&可爱&&猫,猫叫版《康康舞曲》，进来康康大猫呗~~,5
2695,一坨红发,http://www.bilibili.com/video/av243328198,"新人鬼畜UP
点赞投币收藏分享是对我最大的支持",19,1023,1023,bilibili新星计划&&童年阴影&&搞笑&&鬼畜调教&&自制&&郭老师&&老吊&&旭旭宝宝&&GIAO哥,鬼畜《山村老郭》当旭旭宝宝和giao哥遇到郭老师,44
2696,拉面哲学派,http://www.bilibili.com/video/av285649903,"转载自油管：Maestro Ziikos
特朗普油管过亿合集3",19,1021,1021,YOUTUBE&&川建国&&最终鬼畜&&文艺复兴&&洗脑神曲&&万恶之源&&美国总统&&特朗普&&奥巴马&&奥利给,【鬼畜过亿】没有人比我特朗普更懂（油管过亿播放合集，一次看个够。）绝对好活,109
2697,薄荷一如既往的贫穷,http://www.bilibili.com/video/av883039632,"祝老板四周年快乐！！！天天开心越来越好！！！

这个是第二个鬼畜！很多地方做的不好，大家见谅，欢迎提意见！！鞠躬~

素材来源：白止游戏直播＆白浅于止录音组（感谢工作组的授权！！）
友情出演：雨洛
bgm：TheFatRat - Unity",119,1020,1020,鬼畜调教&&白止&&鬼畜,【白止周年快乐】【鬼畜】一个怼的过整个直播间的唱见,18
2698,Foxa老狐,http://www.bilibili.com/video/av242912522,求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连求三连！,19,1020,1020,bilibili新星计划&&命运2&&对王之王&&唐伯虎点秋香&&对子之王&&名场面&&内鬼&&整活&&搞笑&&工整,【工整警告！】命 运 2-对 王 之 王,8
2753,奇怪的陈伊澄,http://www.bilibili.com/video/av455772183,"要给我的同学们看一个比较大众的鬼畜，所以就做了这个
视频几乎就是搬运过来的，我真的不会做pv。。
开了一点脑洞填了一些英文词，调得挺辛苦的，希望能火吧",9,956,956,bilibili新星计划&&特朗普&&China&&搞笑&&蜜汁带感,B站上破100播放的川普鬼畜 China,5
2754,free破晓之夜,http://www.bilibili.com/video/av455645182,"这是川普在美国的竞选时的一个宣传片，刚冒着很大的风险才搞回来的，看着奥巴马和川普撕逼，有感而发，特意到美国来弄第一手资料，，求过审，求过审，求过审
觉得有趣的话，给一个赞救救孩子吧！！",25,956,956,bilibili新星计划&&搞笑&&鬼畜调教&&奥巴马&&美国&&你的名字&&特朗普&&恶搞&&脑洞,【川建国x奥巴马】没有人比我更 懂 当 总 统,10
2601,中二少年刀凯,http://www.bilibili.com/video/av328096166,点个赞吧,14,1135,1135,bilibili新星计划&&瓶子君152&&祖安&&搞笑&&沙雕&&祖安人,【瓶宝】一款更懂祖安的机器,14
